ld[m]	ld[%]	SwfS	Cf_C	DCL	DCLalpha	DCl	df	c_prime_over_c	flap_type
-1	-1	0.73	0.1	1.05	-10.94	1.6	10	1.0	double slotted+None
-1	-1	0.74	0.1	1.07	-11.09	1.6	10	1.0	double slotted+None
-1	-1	0.75	0.1	1.08	-11.24	1.6	10	1.0	double slotted+None
-1	-1	0.76	0.1	1.1	-11.39	1.6	10	1.0	double slotted+None
-1	-1	0.77	0.1	1.11	-11.54	1.6	10	1.0	double slotted+None
-1	-1	0.78	0.1	1.12	-11.69	1.6	10	1.0	double slotted+None
-1	-1	0.79	0.1	1.14	-11.84	1.6	10	1.0	double slotted+None
-1	-1	0.8	0.1	1.15	-11.99	1.6	10	1.0	double slotted+None
-1	-1	0.81	0.1	1.17	-12.14	1.6	10	1.0	double slotted+None
-1	-1	0.82	0.1	1.18	-12.29	1.6	10	1.0	double slotted+None
-1	-1	0.83	0.1	1.2	-12.44	1.6	10	1.0	double slotted+None
-1	-1	0.84	0.1	1.21	-12.59	1.6	10	1.0	double slotted+None
-1	-1	0.85	0.1	1.23	-12.74	1.6	10	1.0	double slotted+None
-1	-1	0.86	0.1	1.24	-12.89	1.6	10	1.0	double slotted+None
-1	-1	0.87	0.1	1.25	-13.04	1.6	10	1.0	double slotted+None
-1	-1	0.88	0.1	1.27	-13.19	1.6	10	1.0	double slotted+None
-1	-1	0.89	0.1	1.28	-13.34	1.6	10	1.0	double slotted+None
-1	-1	0.73	0.1	1.05	-10.94	1.6	15	1.0	double slotted+None
-1	-1	0.74	0.1	1.07	-11.09	1.6	15	1.0	double slotted+None
-1	-1	0.75	0.1	1.08	-11.24	1.6	15	1.0	double slotted+None
-1	-1	0.76	0.1	1.1	-11.39	1.6	15	1.0	double slotted+None
-1	-1	0.77	0.1	1.11	-11.54	1.6	15	1.0	double slotted+None
-1	-1	0.78	0.1	1.12	-11.69	1.6	15	1.0	double slotted+None
-1	-1	0.79	0.1	1.14	-11.84	1.6	15	1.0	double slotted+None
-1	-1	0.8	0.1	1.15	-11.99	1.6	15	1.0	double slotted+None
-1	-1	0.81	0.1	1.17	-12.14	1.6	15	1.0	double slotted+None
-1	-1	0.82	0.1	1.18	-12.29	1.6	15	1.0	double slotted+None
-1	-1	0.83	0.1	1.2	-12.44	1.6	15	1.0	double slotted+None
-1	-1	0.84	0.1	1.21	-12.59	1.6	15	1.0	double slotted+None
-1	-1	0.85	0.1	1.23	-12.74	1.6	15	1.0	double slotted+None
-1	-1	0.86	0.1	1.24	-12.89	1.6	15	1.0	double slotted+None
-1	-1	0.87	0.1	1.25	-13.04	1.6	15	1.0	double slotted+None
-1	-1	0.88	0.1	1.27	-13.19	1.6	15	1.0	double slotted+None
-1	-1	0.89	0.1	1.28	-13.34	1.6	15	1.0	double slotted+None
-1	-1	0.65	0.37	1.05	-9.74	1.8	20	1.13	double slotted+None
-1	-1	0.66	0.32	1.05	-9.89	1.77	20	1.11	double slotted+None
-1	-1	0.67	0.27	1.05	-10.04	1.75	20	1.09	double slotted+None
-1	-1	0.68	0.22	1.05	-10.19	1.72	20	1.08	double slotted+None
-1	-1	0.69	0.17	1.05	-10.34	1.69	20	1.06	double slotted+None
-1	-1	0.7	0.13	1.05	-10.49	1.67	20	1.04	double slotted+None
-1	-1	0.71	0.1	1.06	-10.64	1.65	20	1.03	double slotted+None
-1	-1	0.72	0.1	1.07	-10.79	1.65	20	1.03	double slotted+None
-1	-1	0.73	0.1	1.09	-10.94	1.65	20	1.03	double slotted+None
-1	-1	0.74	0.1	1.1	-11.09	1.65	20	1.03	double slotted+None
-1	-1	0.75	0.1	1.12	-11.24	1.65	20	1.03	double slotted+None
-1	-1	0.76	0.1	1.13	-11.39	1.65	20	1.03	double slotted+None
-1	-1	0.77	0.1	1.15	-11.54	1.65	20	1.03	double slotted+None
-1	-1	0.78	0.1	1.16	-11.69	1.65	20	1.03	double slotted+None
-1	-1	0.79	0.1	1.18	-11.84	1.65	20	1.03	double slotted+None
-1	-1	0.8	0.1	1.19	-11.99	1.65	20	1.03	double slotted+None
-1	-1	0.81	0.1	1.21	-12.14	1.65	20	1.03	double slotted+None
-1	-1	0.82	0.1	1.22	-12.29	1.65	20	1.03	double slotted+None
-1	-1	0.83	0.1	1.23	-12.44	1.65	20	1.03	double slotted+None
-1	-1	0.84	0.1	1.25	-12.59	1.65	20	1.03	double slotted+None
-1	-1	0.85	0.1	1.26	-12.74	1.65	20	1.03	double slotted+None
-1	-1	0.86	0.1	1.28	-12.89	1.65	20	1.03	double slotted+None
-1	-1	0.87	0.1	1.29	-13.04	1.65	20	1.03	double slotted+None
-1	-1	0.88	0.1	1.31	-13.19	1.65	20	1.03	double slotted+None
-1	-1	0.89	0.1	1.32	-13.34	1.65	20	1.03	double slotted+None
-1	-1	0.64	0.37	1.05	-9.59	1.83	25	1.14	double slotted+None
-1	-1	0.65	0.32	1.05	-9.74	1.8	25	1.12	double slotted+None
-1	-1	0.66	0.28	1.05	-9.89	1.77	25	1.11	double slotted+None
-1	-1	0.67	0.23	1.05	-10.04	1.74	25	1.09	double slotted+None
-1	-1	0.68	0.19	1.05	-10.19	1.72	25	1.07	double slotted+None
-1	-1	0.69	0.15	1.05	-10.34	1.69	25	1.06	double slotted+None
-1	-1	0.7	0.11	1.05	-10.49	1.67	25	1.04	double slotted+None
-1	-1	0.71	0.1	1.06	-10.64	1.66	25	1.04	double slotted+None
-1	-1	0.72	0.1	1.08	-10.79	1.66	25	1.04	double slotted+None
-1	-1	0.73	0.1	1.09	-10.94	1.66	25	1.04	double slotted+None
