    b                   CL
    -13.23502         0.3393498
    -12.74416         0.5533594  
    -11.93949         0.6664832  
    -10.84083         0.7218893  
    -9.475231         0.7462267  
    -7.876322         0.7531703  
    -6.083473         0.7496872  
    -4.140828         0.7380866  
    -2.096222         0.7185686  
 -2.16483e-14         0.6834232  
     2.096222         0.7185686  
     4.140828         0.7380866  
     6.083473         0.7496872  
     7.876322         0.7531703  
     9.475231         0.7462267  
     10.84083         0.7218893  
     11.93949         0.6664832  
     12.74416         0.5533594  
     13.23502         0.3393498  

