    b                   CL
    -13.23502         0.2197046
    -12.74416         0.3670039  
    -11.93949         0.4603506  
    -10.84083         0.5264131  
    -9.475231          0.580555  
    -7.876322         0.6288207  
    -6.083473         0.6727387  
    -4.140828         0.7088448  
    -2.096222         0.7327582  
 -2.16483e-14         0.7238083  
     2.096222         0.7327582  
     4.140828         0.7088448  
     6.083473         0.6727387  
     7.876322         0.6288207  
     9.475231          0.580555  
     10.84083         0.5264131  
     11.93949         0.4603506  
     12.74416         0.3670039  
     13.23502         0.2197046  

